Cod_Producto,Descripcion,Unidad,Precio,Precio_IVA,Paga_Impuesto_IVA,Existencia,Observación,Campo1
4006,ENCHUFE_2P+T_32A_220V_IP44_AZ_LEGRAND,U,9.598214286,10.75,VERDADERO,0,INVENTARIO,
4007,ADAPTADOR_ENCHUFE_POLARIZADO_GRIS_COOPER,U,0.669642857,0.75,VERDADERO,0,INVENTARIO,
4008,ADAPTADOR_ENCHUFE_REDONDO_-_PLANO,U,0.3125,0.35,VERDADERO,0,INVENTARIO,
4009,ENCHUFE_MÚLTIPLE_TOMA_BL_COOPER,U,1.25,1.4,VERDADERO,0,INVENTARIO,
4010,ENCHUFE_50AMP_P/GALLINA._220V_COOPER,U,7.321428571,8.2,VERDADERO,0,INVENTARIO,
41,TERMINAL_DE_PUESTA_A_TIERRA,U,1.28,1.4336,VERDADERO,0,CATALOGO,
42,CABLE_DE_EXTENSIÓN_MC4_2m,U,9,10.08,VERDADERO,0,CATALOGO,
43,CONECTOR_MC4_DE_RAMA_EN_Y,U,12.4,13.888,VERDADERO,0,CATALOGO,
44,CENTRO_DE_CARGA_QOL_1_FASE_1_ESPACIO_SN_100A,U,16.94,18.9728,VERDADERO,0,CATALOGO,
45,CENTRO_DE_CARGA_QOL_1_FASE_1_ESPACIO_CN_100A,U,20.95,23.464,VERDADERO,0,CATALOGO,
46,CENTRO_DE_CARGA_QOL_2_FASES_2_ESPACIOS_2F_100A,U,28.84,32.3008,VERDADERO,0,CATALOGO,
47,CENTRO_DE_CARGA_QOL_2_FASES_2_ESPACIOS_2PT_100A,U,15.87,17.7744,VERDADERO,0,CATALOGO,
48,CENTRO_DE_CARGA_QOL_2_FASES_4_ESPACIOS_4F_100A,U,44.17,49.4704,VERDADERO,0,CATALOGO,
49,CENTRO_DE_CARGA_QOL_2_FASES_4_ESPACIOS_4PT_100A,U,27.05,30.296,VERDADERO,0,CATALOGO,
50,CENTRO_DE_CARGA_QOL_2_FASES_6_ESPACIOS_6F_125A,U,53.99,60.4688,VERDADERO,0,CATALOGO,
5001,BOQUILLA/PLAFÓN_4A_125/250V_BL_VETO,U,1.473214286,1.65,VERDADERO,0,INVENTARIO,
5002,BOQUILLA/PLAFÓN_PORCELANA_E27,U,0.669642857,0.75,VERDADERO,0,INVENTARIO,
5003,BOQUILLA_CAUCHO_REFORZADA_NG,U,0.535714286,0.6,VERDADERO,0,INVENTARIO,
51,CENTRO_DE_CARGA_QOL_2_FASES_8_ESPACIOS_8F_125A,U,58.69,65.7328,VERDADERO,0,CATALOGO,
5184,,,0,0,VERDADERO,0,OK,
52,CENTRO DE CARGA QOL 2 FASES 12 ESPACIOS 12F 125A,U,85.07,95.2784,VERDADERO,0,CATALOGO,
53,CENTRO DE CARGA QOL 2 FASES 16 ESPACIOS 16F 125A,U,96.81,108.4272,VERDADERO,0,CATALOGO,
54,CENTRO DE CARGA QOL 2 FASES 20 ESPACIOS 20F 125A,U,118.73,132.9776,VERDADERO,0,CATALOGO,
55,CENTRO DE CARGA QOL 2 FASES 30 ESPACIOS 30F 225A,U,204.15,228.648,VERDADERO,0,CATALOGO,
56,CENTRO DE CARGA QOL 3 FASES 3 ESPACIOS 403F 100A,U,57.52,64.4224,VERDADERO,0,CATALOGO,
57,CENTRO DE CARGA QOL 3 FASES 6 ESPACIOS 406F 125A,U,85.16,95.3792,VERDADERO,0,CATALOGO,
58,CENTRO DE CARGA QOL 3 FASES 12 ESPACIOS 412F 125A,U,147.83,165.5696,VERDADERO,0,CATALOGO,
59,CENTRO DE CARGA QOL 3 FASES 20 ESPACIOS 420F 125A,U,209.59,234.7408,VERDADERO,0,CATALOGO,
60,CENTRO DE CARGA QOL 3 FASES 30 ESPACIOS 430F 225A,U,282.01,315.8512,VERDADERO,0,CATALOGO,
6001,CABLE FLEX. TW 18 AWG 600V NG,m,0.142857143,0.16,VERDADERO,0,INVENTARIO,
6002,CABLE FLEX. TW 18 AWG 600V BL,m,0.142857143,0.16,VERDADERO,0,INVENTARIO,
6003,CABLE FLEX. TW 16 AWG 600V NG,m,0.196428571,0.22,VERDADERO,0,INVENTARIO,
6004,CABLE FLEX. TW 16 AWG 600V BL,m,0.196428571,0.22,VERDADERO,0,INVENTARIO,
6005,CABLE FLEX. THHN 14 AWG 600V NG,m,0.39,0.4368,VERDADERO,0,INVENTARIO,
6006,CABLE FLEX. THHN 14 AWG 600V RJ,m,0.330357143,0.37,VERDADERO,0,INVENTARIO,
6007,CABLE FLEX. THHN 14 AWG 600V AZ,m,0.330357143,0.37,VERDADERO,0,INVENTARIO,
6008,CABLE FLEX. THHN 14 AWG 600V BL,m,0.330357143,0.37,VERDADERO,0,INVENTARIO,
6009,CABLE FLEX. THHN 14 AWG 600V VD,m,0.330357143,0.37,VERDADERO,0,INVENTARIO,
6010,CABLE FLEX. THHN 12 AWG 600V NG,m,0.56,0.6272,VERDADERO,0,INVENTARIO,
6011,CABLE FLEX. THHN 12 AWG 600V RJ,m,0.498571429,0.5584,VERDADERO,0,INVENTARIO,
6012,CABLE FLEX. THHN 12 AWG 600V AZ,m,0.482142857,0.54,VERDADERO,0,INVENTARIO,
6013,CABLE FLEX. THHN 12 AWG 600V BL,m,0.482142857,0.54,VERDADERO,0,INVENTARIO,
6014,CABLE FLEX. THHN 12 AWG 600V VD,m,0.482142857,0.54,VERDADERO,0,INVENTARIO,
6015,CABLE FLEX. THHN 10 AWG 600V NG,m,0.835714286,0.936,VERDADERO,0,INVENTARIO,
6016,CABLE FLEX. THHN 10 AWG 600V RJ,m,0.821428571,0.92,VERDADERO,0,INVENTARIO,
6017,CABLE FLEX. THHN 10 AWG 600V BL,m,0.821428571,0.92,VERDADERO,0,INVENTARIO,
6018,CABLE FLEX. THHN 10 AWG 600V VD,m,0.821428571,0.92,VERDADERO,0,INVENTARIO,
6019,CABLE SOLID. TF 16 AWG 600V AZ.,m,0.214285714,0.24,VERDADERO,0,INVENTARIO,
6020,CABLE SOLID. TF 16 AWG 600V BL.,m,0.214285714,0.24,VERDADERO,0,INVENTARIO,
6021,CABLE SOLID. THHN 14 AWG 600V NG,m,0.303571429,0.34,VERDADERO,0,INVENTARIO,
6022,CABLE SOLID. THHN 14 AWG 600V RJ,m,0.303571429,0.34,VERDADERO,0,INVENTARIO,
6023,CABLE SOLID. THHN 14 AWG 600V AZ,m,0.303571429,0.34,VERDADERO,0,INVENTARIO,
6024,CABLE SOLID. THHN 14 AWG 600V BL,m,0.303571429,0.34,VERDADERO,0,INVENTARIO,
6025,CABLE SOLID. THHN 14 AWG 600V VD,m,0.303571429,0.34,VERDADERO,0,INVENTARIO,
6026,CABLE SOLID. THHN 12 AWG 600V NG,m,0.410714286,0.46,VERDADERO,0,INVENTARIO,
